id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName
7222,Men,Footwear,Shoes,Sports Shoes,Black,Fall,2011.0,Sports,Rockport Men's Hydro Sail Black Silver Red Shoe
10295,Men,Footwear,Shoes,Casual Shoes,Brown,Summer,2016.0,Casual,Clarks Men Brown Leather Casual Shoes
10638,Men,Footwear,Shoes,Formal Shoes,Brown,Fall,2011.0,Formal,Carlton London Men Formal Brown Formal Shoes
12479,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2013.0,Formal,Clarks Men Leather Black Formal Shoes
21569,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Numero Uno Men Casual Black Shoes
24461,Men,Footwear,Shoes,Casual Shoes,Grey,Fall,2011.0,Casual,ADIDAS Men Grey Pural Desman Casual Shoes
25475,Men,Footwear,Shoes,Casual Shoes,Green,Summer,2012.0,Casual,Nike Men Green Liteforce Casual Shoes
32737,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,FILA Men Smash III White Sports Shoes
34540,Men,Footwear,Shoes,Casual Shoes,Brown,Winter,2018.0,Casual,Red Tape Men Brown Shoes
36230,Men,Footwear,Shoes,Sports Shoes,White,Summer,2012.0,Sports,Nike Men Air Courtballistec 4.1 White Sports Shoes
38775,Men,Footwear,Shoes,Casual Shoes,Black,Winter,2016.0,Casual,Woodland Men Black Shoes
40690,Men,Footwear,Shoes,Formal Shoes,Black,Summer,2012.0,Formal,Numero Uno Men Black Formal Shoes
44948,Men,Footwear,Shoes,Sports Shoes,Black,Summer,2012.0,Sports,Puma Men Black Aquil II Sports Shoes
46337,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,Reebok Men Black Desire Shoes
54078,Men,Footwear,Shoes,Sports Shoes,Orange,Summer,2012.0,Sports,ADIDAS Men Orange F50 Adizero HG Football Shoes
56664,Men,Footwear,Shoes,Casual Shoes,Black,Summer,2012.0,Casual,United Colors of Benetton Men Black Shoes
57941,Men,Footwear,Shoes,Casual Shoes,Black,Spring,2012.0,Casual,Clarks Men Black Casual Shoes
4052,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Myntra Men's Eagle Emblem Black T-shirt
4403,Men,Apparel,Topwear,Tshirts,Black,Summer,2011.0,Casual,Rolling Stone Men's Union Jack Black T-shirt
4754,Men,Apparel,Topwear,Tshirts,White,Summer,2011.0,Sports,ADIDAS Men's 3S Crew Black White T-shirt
7960,Men,Apparel,Topwear,Tshirts,Green,Fall,2011.0,Sports,Puma Men's Large Logo Graphic Green T-shirt
10858,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Wrangler Men Furious Rides White T-Shirts
13966,Men,Apparel,Topwear,Tshirts,White,Fall,2011.0,Casual,Ed Hardy Men Solid White Tshirts
16207,Men,Apparel,Topwear,Sweatshirts,Grey,Fall,2011.0,Casual,Puma Men Cheveron Wording Grey SweatShirt
16620,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,Probase Men Stripes Red Shirt
17537,Men,Apparel,Topwear,Shirts,Yellow,Fall,2011.0,Formal,Mark Taylor Men Yellow & Blue Striped Shirt
19184,Men,Apparel,Topwear,Shirts,Red,Fall,2011.0,Casual,United Colors Of Benetton Men Red Check Shirt
19397,Men,Apparel,Topwear,Tshirts,Blue,Fall,2011.0,Sports,ADIDAS Men Solid Blue T-Shirt
19792,Men,Apparel,Topwear,Tshirts,Purple,Fall,2011.0,Casual,U.S. Polo Assn. Men Striped Purple Tshirt
25757,Men,Apparel,Topwear,Suspenders,Red,Summer,2012.0,Formal,Lino Perros Men Red Suspenders
27359,Men,Apparel,Topwear,Tshirts,Black,Fall,2011.0,Casual,Tantra Men After The Fight Black T-shirt
30331,Men,Apparel,Topwear,Tshirts,Black,Summer,2012.0,Casual,Myntra Men Men At Work Black T-shirt
31574,Men,Apparel,Topwear,Tshirts,Beige,Summer,2012.0,Casual,Mark Taylor Men Printed Beige T-shirt
33236,Men,Apparel,Topwear,Shirts,Grey,Summer,2012.0,Formal,Arrow Men Grey Check Shirt
37764,Men,Apparel,Topwear,Shirts,Blue,Summer,2012.0,Casual,John Players Men Stripes Blue Shirt
38634,Men,Apparel,Topwear,Tshirts,Blue,Summer,2012.0,Casual,Nike Men Blue Cricket T-shirt
59297,Men,Apparel,Topwear,Shirts,White,Fall,2012.0,Casual,U.S. Polo Assn. Men White & Navy Blue Shirt
11099,Women,Apparel,Bottomwear,Leggings,Black,Fall,2011.0,Ethnic,Scullers Women Solid Black Leggings
13342,Women,Apparel,Bottomwear,Capris,Purple,Fall,2011.0,Casual,Gini and Jony Kids Girls Solid Purple Capris
15341,Women,Apparel,Bottomwear,Shorts,Pink,Fall,2011.0,Sports,Nike Women Solid Pink Shorts
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,2011.0,Sports,Puma Women Essential Skinny Black 3/4 Pant
22394,Women,Apparel,Bottomwear,Track Pants,Black,Fall,2011.0,Casual,ADIDAS Women Ess MF3S  Black Track Pant
25898,Women,Apparel,Bottomwear,Leggings,Brown,Summer,2012.0,Casual,Femella Women Dark Brown Skinny Leggings
25930,Women,Apparel,Bottomwear,Skirts,Black,Summer,2012.0,Casual,Femella Women Black Skirt
30921,Women,Apparel,Bottomwear,Trousers,Blue,Summer,2012.0,Ethnic,Fabindia Women Blue Harem Pants
31229,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012.0,Casual,Puma Women Pink Capris
32252,Women,Apparel,Bottomwear,Skirts,Red,Summer,2012.0,Ethnic,Fabindia Women Red Skirts
39117,Women,Apparel,Bottomwear,Leggings,Green,Fall,2012.0,Casual,Aneri Women Green Leggings
39123,Women,Apparel,Bottomwear,Leggings,White,Fall,2012.0,Casual,Aneri Women White Leggings
39133,Women,Apparel,Bottomwear,Leggings,Blue,Fall,2012.0,Casual,Aneri Women Blue Leggings
42349,Women,Apparel,Bottomwear,Leggings,Red,Summer,2012.0,Casual,Flying Machine Women Red Leggings
47058,Women,Apparel,Bottomwear,Salwar,Green,Summer,2012.0,Ethnic,Shree Women Green & Blue Jodhpuri Salwar
47062,Women,Apparel,Bottomwear,Patiala,Multi,Fall,2012.0,Ethnic,Shree Women Multi Colored Patiala
50018,Women,Apparel,Bottomwear,Leggings,Black,Winter,2015.0,Casual,Hanes Women Black Comfortsoft Waistband Cotton - Stretch Lace Capri Leggings
51584,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Wrangler Women Blue Molly Jeans
57073,Women,Apparel,Bottomwear,Jeans,Blue,Summer,2012.0,Casual,Elle Women Blue Jeans
57084,Women,Apparel,Bottomwear,Skirts,Blue,Summer,2012.0,Casual,Elle Women Blue Skirt
2589,Women,Accessories,Headwear,Caps,Maroon,Summer,2011.0,Casual,Quechua Women Maroon Cap
11121,Women,Accessories,Headwear,Caps,Blue,Fall,2011.0,Casual,Puma Women Minicats Knit Blue Cap
16535,Women,Accessories,Headwear,Caps,Grey,Fall,2011.0,Casual,Probase Women Check Grey Cap
16536,Women,Accessories,Headwear,Caps,Red,Fall,2011.0,Casual,Probase Women Checked Orange & Red Cap
17955,Women,Accessories,Headwear,Caps,Blue,Fall,2011.0,Sports,Nike Women Stay Cool Blue Cap
17956,Women,Accessories,Headwear,Caps,Purple,Fall,2011.0,Sports,Nike Women Stay Cool Purple Cap
19884,Women,Accessories,Headwear,Caps,White,Fall,2011.0,Casual,ADIDAS Originals Women Brillo White Cap
20047,Women,Accessories,Headwear,Caps,Blue,Fall,2011.0,Casual,United Colors of Benetton Women Solid Blue Cap
20056,Women,Accessories,Headwear,Caps,Grey,Fall,2011.0,Casual,United Colors of Benetton Women Grey Cap
20057,Women,Accessories,Headwear,Caps,Purple,Fall,2011.0,Casual,United Colors of Benetton Women Printed Purple Cap
20060,Women,Accessories,Headwear,Caps,Black,Fall,2011.0,Casual,United Colors of Benetton Women Black Cap
20062,Women,Accessories,Headwear,Caps,Purple,Fall,2011.0,Casual,United Colors of Benetton Women Solid Purple Cap
21438,Women,Accessories,Headwear,Caps,Blue,Winter,2012.0,Casual,Roxy Women Mellow Beanie Blue Cap
21439,Women,Accessories,Headwear,Caps,Purple,Summer,2012.0,Casual,Roxy Women Be Happy Purple Cap
33775,Women,Accessories,Headwear,Caps,Pink,Summer,2011.0,Casual,Puma Women Conrad Reversible Pink Beanie Cap
40745,Women,Accessories,Headwear,Caps,White,Winter,2012.0,Casual,Roxy Women White Cap
40746,Women,Accessories,Headwear,Caps,Black,Winter,2012.0,Casual,Roxy Women Black Cap
40747,Women,Accessories,Headwear,Caps,Beige,Winter,2012.0,Casual,Roxy Women Beige Cap
58149,Women,Accessories,Headwear,Caps,Pink,Summer,2012.0,Casual,Puma Women Pink Sparkle Cat Cap
58150,Women,Accessories,Headwear,Caps,Black,Summer,2012.0,Casual,Puma Women Black Sparkle Cat Cap
3135,Women,Footwear,Shoes,Heels,Gold,Winter,2015.0,Casual,Catwalk Women Heeded Golden Strap Black Heels
4655,Women,Footwear,Shoes,Sports Shoes,White,Summer,2011.0,Sports,ADIDAS Women Desma Low White Pink Shoe
5460,Women,Footwear,Shoes,Sports Shoes,Black,Summer,2011.0,Sports,Nike Women's Double Team Lite Black Shoe
6390,Women,Footwear,Shoes,Flats,Beige,Summer,2011.0,Casual,Lotto Women Sofia Purple Black Floater
14448,Women,Footwear,Shoes,Heels,Brown,Summer,2012.0,Casual,Enroute Women Brown Wedges
15267,Women,Footwear,Shoes,Casual Shoes,Yellow,Fall,2011.0,Casual,ADIDAS Originals Women SL 72 Yellow Casual Shoes
15494,Women,Footwear,Shoes,Casual Shoes,Maroon,Spring,2013.0,Casual,Carlton London Women Casual Maroon Casual Shoes
18414,Women,Footwear,Shoes,Sports Shoes,Grey,Fall,2011.0,Sports,Skechers Women Shape-Ups Grey Shoe
35469,Women,Footwear,Shoes,Heels,Multi,Winter,2015.0,Casual,Catwalk Women Beads Multi Coloured Flats
35815,Women,Footwear,Shoes,Heels,White,Summer,2012.0,Casual,Enroute Women White Heels
39561,Women,Footwear,Shoes,Heels,Black,Winter,2015.0,Casual,Catwalk Women Black Peep Toes
39564,Women,Footwear,Shoes,Heels,Black,Summer,2016.0,Casual,Catwalk Women Black Heels
41689,Women,Footwear,Shoes,Heels,Red,Winter,2012.0,Casual,Catwalk Women Red Flats
41708,Women,Footwear,Shoes,Heels,White,Winter,2012.0,Casual,Catwalk Women White Heels
45344,Women,Footwear,Shoes,Heels,Khaki,Summer,2016.0,Casual,Cobblerz Women Khaki Sandals
45345,Women,Footwear,Shoes,Heels,Red,Summer,2016.0,Casual,Cobblerz Women Red Sandals
45783,Women,Footwear,Shoes,Heels,Maroon,Summer,2012.0,Casual,Senorita Women Maroon Sandals
49827,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,iPanema Women Gold Flats
53138,Women,Footwear,Shoes,Heels,Blue,Winter,2015.0,Casual,Catwalk Women Blue Heels
56866,Women,Footwear,Shoes,Heels,Brown,Winter,2012.0,Casual,HM Women Brown Flats
1765,Women,Apparel,Topwear,Tshirts,White,Fall,2010.0,Casual,Lotto Women White T-shirt
6199,Women,Apparel,Topwear,Tops,White,Summer,2011.0,Casual,UCB Women's Basic Spaghetti White Top
7794,Women,Apparel,Topwear,Tshirts,Brown,Summer,2011.0,Casual,Wrangler Women's Engineered Stripe Mustard T-shirt
11649,Women,Apparel,Topwear,Kurtas,Green,Summer,2011.0,Ethnic,W Women Kurta Green Kurtas
12105,Women,Apparel,Topwear,Kurtis,White,Fall,2011.0,Ethnic,W Women Printed White Kurtis
12118,Women,Apparel,Topwear,Kurtas,Brown,Fall,2011.0,Ethnic,Aurelia Women Solid Rust Brown Kurtas
12129,Women,Apparel,Topwear,Kurtas,Pink,Fall,2011.0,Ethnic,Aurelia Women Printed Pink Kurtas
12141,Women,Apparel,Topwear,Kurtas,Black,Fall,2011.0,Ethnic,Aurelia Women Solid Black Kurtas
19674,Women,Apparel,Topwear,Tops,Black,Summer,2011.0,Casual,United Colors of Benetton Women Printed Black Top
19675,Women,Apparel,Topwear,Tshirts,White,Summer,2011.0,Casual,United Colors of Benetton Women Printed White T-shirt
28752,Women,Apparel,Topwear,Kurtas,Orange,Summer,2012.0,Ethnic,Aurelia Women Printed Orange Kurta
32641,Women,Apparel,Topwear,Tshirts,Orange,Summer,2012.0,Sports,Nike Women Orange Striped Polo T-shirt
34913,Women,Apparel,Topwear,Dupatta,Black,Summer,2012.0,Ethnic,Fabindia Printed Beige and Black Dupatta
41799,Women,Apparel,Topwear,Tops,Yellow,Summer,2012.0,Casual,Remanika Women Yellow Top
43260,Women,Apparel,Topwear,Kurtas,Pink,Summer,2012.0,Ethnic,Aneri Women Pink Kurta
46268,Women,Apparel,Topwear,Tops,Pink,Summer,2012.0,Casual,109F Women Pink Top
47026,Women,Apparel,Topwear,Kurtas,Black,Summer,2012.0,Ethnic,Shree Women Black & White Kurta
53836,Women,Apparel,Topwear,Kurtas,White,Fall,2012.0,Ethnic,Vishudh Women White and Green Printed Kurta
54084,Women,Apparel,Topwear,Tops,Blue,Summer,2012.0,Casual,Mumbai Slang Women Blue Top
54744,Women,Apparel,Topwear,Kurtis,Off White,Fall,2012.0,Ethnic,Prafful Women Printed Off White Kurti
